Tabela 1.3.1.1 -  Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015;;;;;;;Tabela 1.3.1.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015;;;;;;;Tabela 1.3.1.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015

Sexo e grupos de idade;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e grupos de idade;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;Sexo e grupos de idade;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
60 anos ou mais;  7 631;   451;  1 511;  3 664;  1 370;   636;60 anos ou mais;11,5;9,3;9,7;12,3;13,1;11,3;60 anos ou mais;59,0;51,4;45,5;63,2;65,9;72,6
Mulheres;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0;Mulheres;78,9;70,7;71,7;82,3;82,3;87,0
10 a 14 anos;  4 502;   329;  1 144;  1 987;   653;   388;10 a 14 anos;6,2;6,4;6,3;6,1;6,0;6,5;10 a 14 anos;58,0;40,0;47,1;67,7;66,0;66,4
15 a 17 anos;  4 379;   355;  1 222;  1 859;   603;   341;15 a 17 anos;6,0;6,9;6,8;5,7;5,5;5,7;15 a 17 anos;84,0;67,5;77,0;89,9;91,5;90,3
18 ou 19 anos;  2 982;   246;   845;  1 262;   408;   220;18 ou 19 anos;4,1;4,8;4,7;3,9;3,7;3,7;18 ou 19 anos;88,9;78,3;83,4;93,3;92,7;94,2
20 a 24 anos;  6 972;   580;  1 879;  2 939;  1 002;   572;20 a 24 anos;9,6;11,3;10,4;9,0;9,2;9,6;20 a 24 anos;91,3;81,9;85,4;95,7;95,1;94,9
25 a 29 anos;  7 034;   588;  1 869;  2 990;   984;   603;25 a 29 anos;9,7;11,5;10,3;9,2;9,0;10,1;25 a 29 anos;90,8;81,6;84,4;94,8;95,5;95,7
30 a 34 anos;  7 596;   581;  1 945;  3 374;  1 063;   633;30 a 34 anos;10,5;11,3;10,7;10,4;9,7;10,6;30 a 34 anos;90,6;81,6;84,7;94,4;94,0;95,1
35 a 39 anos;  7 277;   554;  1 842;  3 254;   997;   629;35 a 39 anos;10,0;10,8;10,2;10,0;9,1;10,5;35 a 39 anos;88,8;79,8;81,9;93,1;91,5;94,4
40 a 44 anos;  6 586;   458;  1 581;  3 012;   971;   564;40 a 44 anos;9,1;8,9;8,7;9,2;8,9;9,5;40 a 44 anos;87,2;79,1;78,9;91,6;90,1;93,0
45 a 49 anos;  6 047;   383;  1 443;  2 736;   960;   525;45 a 49 anos;8,3;7,5;8,0;8,4;8,8;8,8;45 a 49 anos;85,0;78,0;78,2;87,9;87,3;92,7
50 a 54 anos;  5 736;   354;  1 279;  2 695;   951;   457;50 a 54 anos;7,9;6,9;7,1;8,3;8,7;7,7;50 a 54 anos;82,9;77,8;74,4;86,6;84,2;91,6
55 a 59 anos;  4 568;   241;   998;  2 181;   797;   351;55 a 59 anos;6,3;4,7;5,5;6,7;7,3;5,9;55 a 59 anos;77,9;70,5;70,8;79,9;81,8;85,6
60 anos ou mais;  8 997;   464;  2 047;  4 279;  1 525;   681;60 anos ou mais;12,4;9,0;11,3;13,1;14,0;11,4;60 anos ou mais;54,8;52,0;48,0;55,8;58,8;67,5

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
